job_family;checked;created_by;updated_by
Stage Manager;TRUE;1;1
Statistician;TRUE;1;1
Stonemason;TRUE;1;1
Surveyor;TRUE;1;1
Systems Analyst;TRUE;1;1
Tailor/Dressmaker;TRUE;1;1
Teacher;TRUE;1;1
Technical Writer;TRUE;1;1
Technician;TRUE;1;1
Telecomms Engineer;TRUE;1;1
Telecomms Technician;TRUE;1;1
Toolmaker;TRUE;1;1
Traffic Warden;TRUE;1;1
Trainer;TRUE;1;1
Undertaker;TRUE;1;1
Upholsterer;TRUE;1;1
Urban Planner;TRUE;1;1
Vehicle Body Builder;TRUE;1;1
Vehicle Mechanic;TRUE;1;1
Vehicle Painter;TRUE;1;1
Veterinarian;TRUE;1;1
Wall and Floor Tiler;TRUE;1;1
Watchmaker/Repairer;TRUE;1;1
Web Designer;TRUE;1;1
Welder;TRUE;1;1
Window Cleaner;TRUE;1;1
Woodturner;TRUE;1;1
Writer;TRUE;1;1
Youth Worker;TRUE;1;1
Call Center Assistant;TRUE;1;1
Restaurant/Bar Worker;TRUE;1;1
Travel Agent;TRUE;1;1
Tour Guide;TRUE;1;1
Cook;TRUE;1;1
Kitchen Assistant;TRUE;1;1
Procurement;TRUE;1;1
Logistics;TRUE;1;1
